placename,oc_lat,oc_lng,oc_formatted
Regionshospitalet Brædstrup in Brædstrup,55.97153,9.61129,"Brædstrup, Horsens Kommune, Denmark"
Regionshospitalet Grenaa in Grenaa,56.41578,10.87825,"Grenå, Norddjurs Kommune, Denmark"
Regionshospitalet Hammel Neurocenter in Hammel,56.25762,9.86316,"Hammel, Favrskov Kommune, Denmark"
Regionshospitalet Herning in Herning,56.13932,8.97378,"Herning, Herning Kommune, Denmark"
Regionshospitalet Holstebro in Holstebro,56.36009,8.61607,"Holstebro, Holstebro Kommune, Denmark"
Regionshospitalet Horsens in Horsens,55.86066,9.85034,"Horsens, Horsens Kommune, Denmark"
Regionshospitalet Kjellerup in Kjellerup,56.28581,9.43528,"Kjellerup, Silkeborg Kommune, Denmark"
Regionshospitalet Lemvig in Lemvig,56.54856,8.31019,"Lemvig, Lemvig Kommune, Denmark"
Regionshospitalet Odder in Odder,55.97313,10.153,"Odder, Odder Kommune, Denmark"
Regionshospitalet Randers in Randers,56.4607,10.03639,"Randers, Randers Kommune, Denmark"
Regionshospitalet Ringkøbing in Ringkøbing,56.09006,8.24402,"Ringkøbing, Ringkøbing-Skjern Kommune, Denmark"
Regionshospitalet Samsø on the island of Samsø,55.85245,10.60045,"Samsø Kommune, Denmark"
Regionshospitalet Silkeborg in Silkeborg,56.1697,9.54508,"Silkeborg, Silkeborg Kommune, Denmark"
Regionshospitalet Skanderborg Sundhedscenter in Skanderborg,56.03991,9.9272,"Skanderborg, Skanderborg Kommune, Denmark"
Regionshospitalet Skive in Skive,56.56381,9.04025,"Skive, Skive Kommune, Denmark"
Regionshospitalet Tarm in Tarm,55.90861,8.53041,"Tarm, Ringkøbing-Skjern Kommune, Denmark"
Regionshospitalet Viborg in Viborg,NA,NA,NA
Aarhus Universitetshospital Skejby in Aarhus,56.15674,10.21076,"Århus, Århus Kommune, Denmark"
